Organization Name,Description,Number of Investments
startup300,startup300 operates as an angel investor network and business accelerator offering services to Austrian startups.,10
Fund for Arkansas' Future,"Fund for Arkansas' Future is a member-managed, angel investor fund focused on capitalizing early-stage, Arkansas-based companies.",10
Natacor Inc.,Natacor Inc. is a firm that provides financial and business advising as well as capital investments.,10
Korean Government TIPS Program,Korean Government TIPS Program,10
AngelFire Ventures,Investing in the Greater New York Metropolitan Region,9
Calvert Impact Capital,Calvert Impact Capital is a non-profit investment firm that invests to create a more equitable and sustainable world.,9
AirAngels,Airbnb alumni investor syndicate,9
Silicon Valley CISO Investments,Silicon Valley CISO Investments primarily invests in startups engaging in cybersecurity innovation.,9
InCrowd Capital,"InCrowd Capital is an angel investment group based in Nashville, TN, focused on early-stage technology companies across the Southeast..",9
Particular Ventures,Particular Ventures invests in pre-seed and seed stage medical technology companies,9
Carolina Angel Network,Carolina Angel Network provides an angel investing platform and co-investment fund that leverages the UNC alumni network.,9
BrainTrust,Braintrust is a European Business Angels group that invest primarily in Early-stage startups.,9
AngelHQ,"Angel HQ is Wellington region's angel investment network - follow us for angel investing info, and a way to connect to investors.",9
AngelVest,"AngelVest Group was launched in 2007, in affiliation with the Shanghai chapter of the Asia America Multi Technology Association.",9
Charlottesville Angel Network,Charlottesville Angel Network is a group of high-net worth individuals investing collectively in high-growth potential startups.,9
SeedCapital Dortmund,SeedCapital Dortmund GmbH & Co KG operates as a venture capital firm.,9
Chicago Booth Angels,"Chicago Booth Angels is disrupting an age-old paradigm of angel investing by creating a global, trusted network of domain experts,",9
Mexican.VC,"We fund lightweight software companies that can scale quickly without a large amount of capital, time, or resources.",9
MIT Alumni Angels of Northern California,Entrepreneurship is thriving even in this market. Take a look at some promising new companies with fellow alums as part of MIT Angels. MIT,9
Istanbul Startup Angels,Turkey’s most active angel investment network with a focus on innovative and fast growing technology startups.,9
Peak Opportunity Partners,Peak Opportunity Partners is an early stage investment fund.,9
WannaBiz,"WannaBiz is an angel seed fund, aims to build and develop global projects in line with the competitive market.",9
Full Stack,Full Stack is a capital investment firm that connects with budding entrepreneurs.,9
Tichenor Ventures,Tichenor Ventures is a financial organization. Nothing is publicly known about the organization other than this announcement. If you have,9
Emergent Growth Fund,The Emergent Growth Funds are member-managed angel funds that share the same focus on early stage companies.,9
91springboard,"91springboard is a co-working community company that provides a networking events, mentor-ship, investing, funding, and part time office.",8
S16VC,"Community-driven, founder-centric angel fund created and run by active founders and industry professionals.",8
Xoogler,Xoogler is a group of Google alumni that comes together to help each other in the startup ecosystem.,8
Hayseed Ventures,Hayseed Ventures is a venture production studio that partners with early stage internet-based companies to build scalable businesses.,8
Angeles Investors,"Angeles Investors is on a mission to find, fund and grow the most promising Hispanic & Latinx ventures.",8
S Ventures,"S Ventures is an investment company for entrepreneurs, by entrepreneurs.",8
IFG.VC,IFG.VC is a London-based Angel Syndicate that invests in early-stage startups with a preference for founders from minority backgrounds.,8
RTP Capital Associates,RTP Capital Associates is a venture capital fund that provides advisory services to and invests in technology-driven companies.,8
ID345,Club of Angel Investors focusing on early stage strategic investments in scalable software platforms,8
Endeavour Ventures,Endeavour is a specialist venture capital organisation which attracts an enviable flow of interesting scalable companies.,8
Long Island Angel Network,"Based in New York, Long Island Angel Network invests in technology- and innovation-focused early-stage and emerging growth companies.",8
Drone.VC,A syndicated drone venture fund under the Angelist umbrella that will specifically invest in commercial drone space.,8
Caerus Investment Partners,Caerus Investment Partners is a micro venture capital firm that partners with entrepreneurs to provide seed capital for early-stage,8
Emergent Ventures,"An investment fund focused on companies leveraging technology, data, analytics, & AI to unlock value.",8
Growth Capital Fund,"Growth Capital Fund is a Texas-based venture capital fund that invests in B2B startups, acquisitions, and growing concerns.",8
Aurora Private Equity,Aurora Private Equity is a business angel groups with aim of funding and supporting emerging companies with prospects of high growth.,8
Mid-Atlantic Angel Group,"The Mid-Atlantic Angel Group Funds I & II, LP (MAG I & II) were created to bridge the gap between angel funding and institutional venture",8
Harvard Angel Group,The Harvard Angel group consists of Bay Area Harvard Alumni interested and engaged in the start-up community and committed to investing in,8
Marshall Capital Corporation,A small private firm with 3 investment professionals complimented by a small group of experienced operating professionals.,8
"Hatch Partners, LLC",Hatch Partners is a U.S.-based venture capital firm specialized in investments in early-stage companies.,8
Pittsburgh Equity Partners,Pittsburgh Equity Partners (PEP) is a venture capital fund specifically formed to grow Western Pennsylvania's most promising early-stage,8
Zygote Ventures,Zygote Ventures is a privately held seed/angel venture capital fund.,8
Keiretsu Forum Spain,"Keiretsu Forum is a global angel investor network with 1,100 accredited investor members throughout 29 chapters on 3 continents.",8
MEGA Holding,Investment Firm,7
Meyvn,Meyvn is a product development advisor & early-stage VC that invest and co-develops next gen products with the world's greatest founders,7
Founders Committee,Founders Committee is a syndicate fund & a group of entrepreneurs who invest in great teams that actively help make a difference.,7
10X Venture Partners,10X Venture Partners is a seed stage (and beyond) investment group. They commit operational experience and dollars to their portfolio,7
Outlines Venture Group,"Idea & seed stage mentoring in exchange for equity, fee-based coaching, and subscription services for entrepreneurs & investors",7
Enlaces,Enlaces is an Angel Investors Network that promotes and facilitates investment in dynamic ventures in the Dominican Republic.,7
DivInc,"DivInc closes the gap between underrepresented entrepreneurs and the resources they need to build profitable, scalable companies.",7
Bay Angels,"Bay Angels is a San Francisco/Silicon Valley angel investment firm since 1998 - for a wide range of techsectors: in Seed, Angel, and Pre-A",7
BELLE Capital,BELLE Capital is an early stage angel fund for building companies.,7
Geometry Venture Development,Geometry Venture Development is Angel Investment Network Company focusing on early stage investments.,7
Stateline Angels,Stateline Angels is an angel investor organization that provides investment capital to start-up and early stage companies.,7
CalCEF Clean Energy Angel Fund,CalCEF Clean Energy Angel Fund invests in clean energy companies and is a San Francisco-based seed- and early-stage venture capital fund.,7
Winnipeg Capital,"Winnipeg Capital is an investment and financial services firm, serving emerging companies, institutional investors, and individuals.",7
Indicator Fund,Indicator Fund is a seed-stage investment fund that invests in technology-focused entrepreneurs.,7
Harbor Street Ventures,Harbor Street Ventures is a chicago-based angel firm.,7
Cowtown Angels,Cowtown Angels is a Texas-based financial investment group that supports startups and early stage businesses.,7
"BELLE Michigan, LP","The BELLE Michigan Fund, LP is an early stage investment fund building great companies in Michigan, the Midwest, and other regions.",7
Interaction Ventures,Interaction Ventures provides Entrepreneur-led angel fund.,7
Accelerate Venture Partners,"Collaborative group of active investors investing in early stage, high potential companies in Wichita and the Midwest.",7
Rally Capital Services,"Rally Capital Services offers financial, administrative, and operational management advisory services to under-performing companies.",7
Nucleus Adventure Capital,Nucleus Adventure Capital is an early stage angel collective with investors and advisers around the world.,7
Big Bloom Investment,"Founded in 2013, Big Bloom Investment is a Hong Kong-based venture capital firm specialized in angel investments.",7
ChileGlobal Angels,ChileGlobal Angels is an international angel investor network that caters to early stage startups in a broad range of industries.,7
Rising Ventures,Rising Ventures is a Business Angel fund specialized in early stage investment on tech and internet businesses.,7
BOCGI Zheshang Capital,BOCGI Zheshang Capital is an investment firm.,7
Teton Growth Partners,Teton Growth Partners is a seed-focused venture capital firm.,7
Plus550,Plus550 specializes in the provision of early stage funding to companies based in Utah.,7
Asheville Angels,"Asheville Angels is an angel group of individual investors from Asheville, NC, run by the South Carolina Angel Network",7
Arcview Group,Arcview Group is an investment and market research platform that finances cannabis-related businesses.,6
Mark Cuban Companies,Early Stage Tech and CPG Investments,6
Allied Venture Partners,"Western Canada’s largest angel syndicate, investing in early-stage tech startups across Canada & the US.",6
AngelDAO,AngelDAO operates as a decentralized autonomous organization.,6
Earnest Capital,"Earnest Capital provides early-stage funding, resources, and a network of experienced advisors to founders.",6
EstBAN,EstBAN is an umbrella organization for business angels and business angel groups seeking investment opportunities in Estonia.,6
Gávea Angels,Gávea Angels is an angel investor-led group that makes equity investments in Brazil and Latin America.,6
Whalebone Ventures,Backing ambitious founders re-imaging industries,6
IU Angel Network,IU Angel Network facilitates connections between startup companies and prospective investors.,6
Bellingham Angel Investors,"Founded in 2005, Bellingham Angel Investors is composed of a maximum number of 50 accredited investors who share a common interest in",6
Disruptor Capital,Disruptor Capital is a Virginia-based angel investment firm focused on financing and supporting technology startups and entrepreneurs.,6
Cornerstone Angels,Cornerstone Angels is a membership-based investment group focused on startups and institutional capital gap of companies.,6
Louisiana Technology Innovation Fund,The Louisiana Technology Innovation Fund (LTIF) was created by Act 481 of the 1997 Regular Legislative Session to provide seed money for,6
BAF Spectrum,BAF Spectrum is a Singapore-based angel fund investing in Asia-based technology startups with a global highgrowth potential.,6
New Vantage Group,New Vantage Group creates and manages early-stage venture funds for active angel investors and maintains joint venture partnerships.,6
Ariel Southeast Angel Partners,Ariel Southeast Angel Partners is an angel investment group that supports start-up and early stage companies.,6
CofounderZone,CofounderZone brings together angel investors and tech startups to build global companies #cfdrz,6
Wolfpack Investor Network,Wolfpack Investor Network provides an angel investing platform and co-investment fund that leverages the NC State alumni network.,6
Allen Angel Capital Education Program (AACE),"The Allen Angel Capital Education Program is a student group of mid-Missouri investors. Through cross-disciplinary collaboration, students",6
Curious Endeavors,Curios Endeavors is a personal angel investment entity.,6
The Contrarian Group,"The Contrarian Group, Inc. company research & investing information.",6
T2M Holding,T2M is an investment company focused on early stage (seed) investments in the UK and the Americas.,6
Club 100 Plus,"Club's members are professionals, business persons, entrepreneurs whose common interest is desire to invest in different ventures",6
Ames Seed Capital,Ames Seed Capital is a pool of private investors.,6
British Robotics Seed Fund,"Britbots an early-stage venture fund based in London, investing in in robotics, ai and other automative technologies.",6
PKS Capital,PKS Capital is a U.S.-based investment firm specialized in seed- and early-stage venture investments.,6
Bull Partners,Bull Partners combines Business Angel investment and expertise in hyper growth of global startup success.,6
Hantan Capital,Hantan Capital engaged in venture capital business in the TMT field.,6
Krupy Capital,Krupy Capital works with entrepreneurs and developers to build companies of the future.,6
Javas Venture LLC,Super Angel Syndication aims to support early stage startup with strategic value and smart capital.,5
FJ Syndicates,Managing early-stage private equity and digital assets.,5
Ganexa Capital,"Ganexa Capital is a business angel investment vehicle, led by entrepreneurs with many years of corporate and international success.",5
Foxhog Ventures Corp.,"USA based Venture Capital Firm came up with Foxhog Small Finance Bank , helping startups to land idea into future with equity based funding.",5
Diverse Angels,Increasing representation of diverse investors in the angel & venture capital communities,5
Taureon,Taureon is an investor in the distributed ledger technology ecosystem,5
Launch Code Capital,Seed and early stage investor in blockchain technology and cryptocurrency infrastructure.,5
Kairos Angels,investment Club,5
Tabard Venture Capital,Early-stage venture capital investing in technical AgTech entrepreneurs.,5
Luminary Labs,A consultancy that develops strategies and innovation systems for Fortune 500 & government leaders seeking to transform their organizations.,5
Alamo Angels,Alamo Angels are an exclusive group of business leaders and corporate sponsors who promote local business growth.,5
The Angel Roundtable,"The Angel Roundtable is a select network of successful entrepreneurs, investors and other community and business leaders.",5
North Country Angels,North Country Angels brings together entrepreneurs seeking investment opportunities in early-stage and seed investment companies.,5
Broad Street Angels,The Official Angel Investing Group Comprised of Members Of the Union League of Philadelphia,5
North Texas Angel Network,"North Texas Angel Network provides investment funds, experience and expertise to early stage companies.",5
Northern Michigan Angels,Northern Michigan Angels is an organization of local volunteers that focuses on the economic development of the private sector in Michigan.,5
Long Crypto Group (LCG),LCG is an investment firm that bridges western innovative technologies to Asian (specifically Chinese) emerging market needs.,5
Rochester Angel Network,"The Rochester Angel Network encourages applications from Upstate New York companies that are at an early stage, and have highly scalable",5
MIssissippi Angel Fund,MIssissippi Angel Fund is an investment firm.,5
Baylor Angel Network,Investor network providing early-stage capital to strong entrepreneurial teams with developed products or early customer traction,5
Boltendahl International Partners,"Boltendahl is a private and independent international investment boutique acting in the M&A, Private Equity and Venture Capital verticals.",5
Piedmont Angel Network,"The Piedmont Angel Network, an Angel group, invests in early-stage life sciences, technology, software, and advanced material companies.",5
StartupAngel,StartupAngel is a Florida-based Angel investment firm making seed- and early-stage investments.,5
Musea Ventures,Musea Ventures was founded in 2007 by Sass and Talli Somekh to create and invest in new companies with exciting technologies in clean,5
ECOTAF,ECOTAF is a firm that invests in a variety of companies in a regional area.,5
Samothrace Partners,Samothrace Partners seeks to unite innovative and creative business models with capital.,5
Wilco Angel Network,WAN is a network of angel investors working with early stage businesses in Williamson County Texas and the state of Texas.,5
David Shen Ventures,David Shen Ventures works with entrepreneurs and startups to give them an edge over the competition.,5
Alpha Internet Ventures,Alpha Internet Ventures is a launch pad for Internet start ups.,5
Innovation Camp,Innovation Camp is a venture capital firm specializing in incubation and seed/start-up investments.,5
"DWS Holdings, Inc.",E-commerce/Biotech/Fintech/AI,4
Fearless Fund,"Fearless Fund invests in women of color-led businesses seeking pre-seed, seed level.",4
Cap Table Coalition,Cap Table Coalition creates investment opportunities for traditionally marginalized investors.,4
Redbeard Ventures,"Redbeard Ventures builds, invests, and advises startups that help to gain a keen sense of what really matters when building a company.",4
Archangel Ventures,Archangel Ventures is an early stage investment firm that invests in emerging high-growth companies.,4
Black Angel Tech Fund,Black Angel Tech Fund provides startup and early stage capital to companies.,4
Werth Family Investment Associates,"Werth Family Investment Associates is an angel investor for startup companies in the pharmaceutical, veterinary, and medical device field.",4
Founders Group,"Founders Group is a group of multinational Angels with the sole purpose of empowering, promoting and assisting other founders.",4
Newlin,Newlin is a venture capital and private equity firm that connects founders to capital turning ideas to fundable businesses.,4
New Forge,New Forge is a business angel investor that supports early-stage b2b tech startups.,4
Bamboo Sea Ventures,"Angel investment firm, consulting and corporate services provider",4
PMT Ventures,PMT Ventures is an investment and research firm empowering the next generation of Web 3.0,4
Kings Ventures,Description,4
Clarion Venture Partners,"An Angel Investor with a unique approach, with Funds to get your Consulting business off the ground, with mentoring & Infrastructure.",4
CAV Angels,"CAV Angels is an angel investing organization that provides funding and education on investment in private, early-stage companies.",4
SKBR,Investment Holding,4
Florida Angel Nexus,Florida Angel Nexus is an Orlando-based angel investment firm that enables investors to fund small groups of their choice.,4
Inflection Ventures,Inflection Ventures is a financial firm that invests in startup and small businesses.,4
San Joaquin Angels,San Joaquin Angels is an angel investment group that provides attractive private company investment opportunities to its members.,4
Central Illinois Angels,Central Illinois Angels is a membership-based angel investment organization focused on companies across diverse industries.,4
Northeast Angels,Northeast Angels is an early-stage investment group which works with entrepreneurs and businesses.,4
IC Ventures,"IC Ventures selects startups with potential for disruption, scaling, and value generation in technology applied to fintech and AI.",4
819 Capital,"819 Capital is a venture capital firm that invests in seed, mature, and late-stage businesses.",4
TechAngels,"TechAngels is facilitating the development of tech businesses from South-Eastern Europe through investment, expertise and connections.",4
TiE Angels Group Seattle,TiE Angels Group Seattle is an investment group catering to the funding needs of startups primarily in Seattle and the Northwest region.,4
East Coast Angels,"East Coast Angels is financial organization. Nothing is publicly known about the organization. If you know, please help to add more",4
RSH Ventures,RSH Ventures is an angel investment fund focused on early stage companies.,4
Utah Angels,Utah Angels is a venture capital company specialized in seed investments.,4
Plan B Ventures,Plan B Ventures (PBV) is a Boston-based privately funded partnership which provides equity funding to early stage cleantech and life,4
IMAF- WESTERN,IMAF Western is organized to provide members an opportunity for active involvement in a diversified capital investment process.,4
Marvel Venture Partners,"Marvel Venture Partners, LLC offers funding and mentoring services, management consultancy, branding, and marketing solutions to startups.",4
Angel Round Capital,"Angel Capital and venture capital funding, for startups and near startups.",4
Zenith Family Office,Independent wealth management company devoted to handling the investments and personal needs of wealthy individuals,4
Granite State Angels,Granite State Angels is an investing firm.,4
TWC Group,TWC Group is an investment firm.,4
Southeast Minnesota Capital Fund,SEMN Capital invests in high-growth companies with the potential for high returns.,4
Florence Venture Partners,Palo Alto-based group focused on early stage startups,4
Salt Lake Life Science Angels,Salt Lake Life Science Angels is a not-for-profit corporation organized to facilitate investment in seed-stage healthcare and life,4
Hawaii Angels,Hawaii Angels is an investment network that provides members with a forum to review investment presentations and share opinions.,4
Women's Angel Investor Network,Women's Angel Investor Network,4
Halo,Halo develops business angel syndicates on the island of Ireland.,4
Laetitia Garriott de Cayeux,Investing in visionaries building the future ; Investor @SpaceX @DocuSign & more ; Fmr @Renaissance Technologies @TPG Axon @Goldman Sachs,4
NCTU Angel Club,NCTU Angel Club is an angel investment group that encourages an aspiring young person to start a business.,4
RMR Capital,RMR Capital provides financial solutions to companies in the security alarm industry.,4
Cherub Fund,Cherub Fund does its best to be an entrepreneur friendly investment group.,4
Mod N Labs,Mod N Labs is a cybersecurity collaborative helping entrepreneurs build the next generation security companies.,4
IMAF-RTP,IMAF-RTP is one of the Inception Micro Angel Funds and is a member-managed seed stage.,4
AngelNV,Early stage investor school and investment fund for Nevada based accredited investors and scalable Nevada based startups,3
SM Investment Partners GP,Medtech Investment Group,3
Heartland Angels,Heartland Angels assists seed and early-stage companies in obtaining investment capital and in furthering their innovations.,3
KAAJ Ventures,KAAJ Ventures is a venture capital firm.,3
Seed Round Capital,Seed Round Capital is a Houston-based tech startup investment and advisory firm.,3
TIG Investments LLC,Early stage investment group,3
Seeders,Seeders is an investment company focusing on seed funding for tech startups in India.,3
0BS,"We are not a VC Fund, we are a group of Angel investors.",3
MEDA Angels,"MEDA Angels is a healthcare-focused angel investor group comprised of accredited investors who are physicians, scientists.",3
BioAccel,"BioAccel is a unique, fully independent, non-profit organization created to provide funding and business expertise to develop early stage",3
GRID Ventures,Grid Ventures is a startup studio based in New York City.,3
Santa Barbara Angel Alliance,Santa Barbara Angel Alliance is an angel investor group that has invested more than $5M in over 100 startup and early-stage companies.,3
SLP Ventures,SLP Ventures is an early stage venture fund focused on technology-driven companies in the greater Los Angeles area.,3
Tel Aviv Angel Group,The Tel Aviv Angel Group's LaunchPad is dedicated to helping the startup ecosystem in Israel.,3
Boynton Angels,"Boynton Angel members are a diverse group, with professional experience in over 15 different industries including biotech, consumer",3
Angels Band,Angel Band is an association of angel investors.,3
Ixora Ventures,"Ixora Ventures is a venture capital firm specializing in investments in seed, angel stage, early-stage, and pre-Series A.",3
Angel Healthcare Investors,Angel Healthcare Investors is a Boston-based investment firm that funds early stage healthcare and life sciences companies.,3
New Mexico Angels,"Founded in 1999, the New Mexico Angels is a private membership organization for accredited angel investors.",3
Angel Capital Group,Angel Capital Group is a syndicate of angel groups and funds. The network brings Angel investors and entrepreneurs together.,3
South Park Ventures,South Park Ventures helps napkin sketches come off the page through seed and early-stage venture funding.,3
Treetop Ventures,"Treetop Ventures provides comprehensive financial, legal and technology support to small businesses and their entrepreneurial owners.",3
Lead Dog Ventures,Lead Dog Ventures was founded by software industry veteran John Landry to provide today's early-stage technology companies the,3
Maverick Angels,Maverick Angels is an angel group focused on investments in the technology sector.,3
Nobska Point Capital,"A Micro-VC firm based in Boston. Invests in very early stage start-ups in the F/F, Angel, and Seed rounds",3
Bob Pasker's Syndicate,Bob Pasker's Syndicate,3
HBS Alumni Angels New York,HBS Alumni Angels New York is an angel group that invests $15 million across 100 early stage companies.,3
Central Piedmont Investment Group,Central Piedmont Investment Group,3
Westlake Venture Partners,Westlake Venture Partners invests in technology companies through capital investments and private equity.,3
SLC Angels,The SLC Angels is an association of accredited angel investors based in Salt Lake City that share an interest in investing in early-stage.,3
Bear Equity,"Business Equity Appraisal Reports, Inc., also known as BEAR, was founded in 1987 to develop business valuation software.",3
Twin Cities Angels,Twin Cities Angels provides a formal organization for our entrepreneurially-minded angel-investor.,3
Case Technology Ventures,Case Technology Ventures (CTV) is the pre-seed venture capital and technology validation fund at Case Western Reserve University.,3
Centennial Investors,Angel Network For Entrepreneurs.,3
FLIP.Ventures,Forward Looking Intellectual Property Ventures - A Vencubator.,3
Bend Venture Conference,"The Bend Venture Conference, hosted by EDCO, is the largest Angel Conference in the Northwest. Total Investments of over $4 Million in 2016.",3
Woodward Angels,"Woodward Angels activates early stage, founder friendly investment capital.",3
Product Trust Investments,Ethical products. Inclusive teams. Driving change. Impact Angel Investing | Advisement | Consulting,3
Chicago ArchAngels,Chicago ArchAngels provides risk capital and backing for start ups.,3
GHO Ventures,"GHO Ventures is a small business founded by Dr. Greg Olsen located in Princeton, NJ.",3
AQAL Integral Investing,"Single Family Office, architect of Integral Investing, addressing the UN SDG within Planetary Boundaries.",3
The Investment Collective,The Investment Collective provides funding to early stage companies from a coordinated group of experienced executives.,3
Midwest Venture Alliance,"Founded in 2005, Midwest Venture Alliance (MVA), including its affiliate, the Southeast Kansas Venture Alliance (SEKVA), is a network of",3
Common Angels Fund,Common Angels Fund is an investment firm comprised of serial entrepreneurs and wealthy families.,3
Ouest Angels Capital,Ouest Angels Capital is a commercial business startup capital investment and equities farm.,3
Angivest Ventures,Angel investment firm,3
BlueJay Syndicate,The first angel investment network for startups with founders from the johns hopkins university.,3
Capital Growth,Business Angel,3
Hudson River Angels,Hudson River Angels is an early stage investment group that invests in technology companies.,3
Twin Rivers Holdings,Twin Rivers Holdings is a private investment firm focused on financing early stage companies based in the South Eastern United States.,3
ELG Ventures,"ELG Ventures is a boutique private equity firm that focuses on environmental, cleantech, e-commerce, and digital currency markets.",3
Marshfield Investment Partners,The Marshfield Investment Partners are a formal group of accredited angel investors who are interested in taking equity commitments in,3
Gem State Angel Fund,investor,3
Pulver's Micro Angel Fund,Pulver's Micro Angel Fund is an investment vehicle focused on investments in early stage companies.,3
Caufield Angel Fund,Angel Fund run by Frank Caufield,3
Georgia Tech Edison Fund,Georgia Tech Edison Fund provides seed funding for early-stage technology companies that have a close association with Georgia Tech.,3
Astia,"Astia is an angel group that invests in women-owned companies operating in cleantech, SaaS, life sciences, and IoT sectors.",2
R-Squared Ventures,R-Squared Ventures is an angel fund for entrepreneurs investing in and supporting entrepreneurs.,2
Cadron Creek Capital,Cadron Creek Capital operates as a seed capital investment fund.,2
Unicorn Investors,"SaaS, Fintech, Food-tech, AI, Blockchain",2
Randa Apparel and Accessories,"Randa is a global leader in apparel and accessories: 2000 employees, 12 countries, 50 brands. Wholesale and retail. Strategic Investor.",2
Trousdale Capital,Trousdale Capital is an investment firm that specializes in growth investments in the global software industry.,2
US Angel Investors,US Angel Investors is a group of private equity investors who also provide counsel and investment in start up companies.,2
Farmers Investment Club,Stanford Farmers Investment Club is a group of Stanford professors that make angel investments,2
SEED Venture,SEED Venture is a business that purchases debt and equity in small and medium sized businesses.,2
Spearhead,Dedicated to backing and mentoring founders.,2
Easterly Capital,"Easterly Partners is a privately held investment management firm based in Washington, DC. The firm’s strategy aims to provide investors",2
0 Ventures,0 Ventures is an angel group that helps founders go from 0 to 1.,2
RAA Ventures,RAA Ventures makes angel investments and provides venture capital to extraordinary entrepreneurs and game-changing ideas.,2
Aggie Angel Network,The Aggie angel network (AAN) is a not-for-profit corporation dedicated to providing quality early-stage investment opportunities.,2
Executive Forum Angels,C-suite executives predominantly from the New York City area who are passionate about sourcing and investing in start-up firms.,2
Xochi Ventures,Xochi Ventures operates as an early-stage venture capital firm.,2
Namier Capital Partners,Strategic and M&A advisory for growth companies and large corporations,2
Alliance Healthcare Partners,Excellence in Healthcare Management,2
Plains Angels,Plains Angels is an angel investor forum and group of Iowa and provide service for investors with high returns.,2
STAR Angel Network,STAR Angel Network is a group of professional athletes and celebrities who provides funding and support services to select companies.,2
Northern California Investment Fund,Northern California Investment Fund,2
Spyglass Ventures,Spyglass Ventures is a venture capital firm that specializes in seed and early-stage companies.,2
AngelVision Investors,"AngelVision Investors is a Los Angeles-based angel investment group focused on the entertainment, marketing, and new media industries.",2
Halcyon Angels,Halcyon Angels is a network of angel investors committed to learning and teaching.,2
Founders Capital Partners,"Founders Capital Partners (FCP) is a group of angel investors - individuals who invest in early-stage, technology-based businesses.",2
Springboard Capital,"Springboard Capital is a member-managed private equity fund focused upon seed and early stage investment located in Jacksonville, Florida.",2
Angel Dough Ventures,Angel Dough Ventures is a startup accelerator.,2
"ITB Venture Capital, LLC",Angels Investing exclusively in FinTech.,2
Oregon Entrepreneurs Network (OEN),"OEN is a non-profit organization that educates, supports, and advocates for our entrepreneurial community.",2
Rines Angel Fund,The Rines Angel Fund is an undergraduate student managed angel investment group at the University of New Hampshire.,2
Central Coast Angels,Central Coast Angels was founded in 2013 by a group of successful entrepreneurs who share a love for the California Central Coast region,2
Taureon,Taureon is a leading investment manager and consulting firm in the distributed ledger technology ecosystem,2
Princeton Alumni Angels,Princeton Alumni Angels are passionate alumni who are committed to finding great investment opportunities and supporting exciting startups.,2
TBJ Investments,TBJ Investment is a Family Office making direct investments in select technology-driven companies.,2
Alacrity Ventures,An Angel Capital Investment Firm,2
Inflection Venture Partners,Inflection Venture Partners seed stage investment fund focusing on technology startups.,2
The Athenaeum Fund,The Athenaeum Fund is a venture capital firm.,2
Lingo Ventures,"Lingo Ventures develops talented entrepreneurs, leaders, and creatives to the next level.",2
StepStone Angels,"StepStone Angels, a group of accredited investors, focuses on funding early stage, high potential, and high growth technology companies.",2
Northland Angel Investor Network,The Northland Angel Investors Network connects investors with business opportunities.,2
Numenor Ventures,Numenor Ventures is an investment management company.,2
Canary Ventures,Canary Ventures focuses on seed stage B2B software startups in New York City and Boston.,2
ZINO Society,"ZINO Society is a community of Angel Investors, Entrepreneurs and Connectors. ZINO Society propels businesses to success through active",2
Tri State Ventures,Tri State Ventures seeks to identify and invest in companies with high growth potential.,2
Greenwich Venture Capital Advisors,Greenwich Venture Capital Advisors provides investment and advisory for an early stage TV advertising companies.,2
SC Angeles,"SC Angeles is an angel investment network based in Santa Cruz, Bolivia. We seek to invest in early stage companies in Latin America.",2
Virginia Active Angel Network,Virginia Active Angel Network (VAAN) is a professionally managed and member-led group of accredited investors .,2
Chi Fan Group,Chi Fan Group LLC is an angel investment firm that specializes in helping startups commercialize cutting-edge concepts.,2
Blue Heron Ventures,Blue Heron Ventures is an angel investment fund that invests in technology and content startups.,2
AWT Private Investments,"AWT Private Investments is a portfolio of private equity investments, including some where business advisory or board participation is",2
Handmade Ventures,Handmade is a mobile advisory and angel investor group that assists great entrepreneurs and new start ups in a co-founding partnership.,2
SoGal Foundation,SoGal Foundation is a nonprofit on a mission to close the diversity gap in entrepreneurship and investing worldwide.,2
AsherMaximus,AsherMaximus operates as early-stage venture capital.,2
Wet Paint Ventures,WetPaint Ventures is a representation tool for entrepreneurs and investors to execute seed venture deals.,2
Anvil Venture Partners,AVP provides access to capital and bizdev services so post-revenue startups can accelerate growth from seed to scale.,2
Kyosei Ventures,"Kyosei Ventures is an Investment Holdings Company that aims to create, seed, invest and grow companies",2
Bangor Angels,Bangor Angels,2
HOTventures,"HOTventures is a venture capital firm who is an investor and advisor in start up, growth, and early stage investments.",2
Edge Harris Ventures,"Entrepreneur-friendly, data-driven early-stage venture fund",2
Fantastic Ventures,https://angel.co/fantastic-ventures,2
Canty Ventures,"Early-stage, angel investment firm.",2
Western New York Venture Association,The Niagara Region’s Only Not-for-Profit Business Opportunity and Investment Forum.,2
Wider Wake Networks,"Wider Wake is a forum within which its members exchange information about pre-screened.early stage, and potentially high yielding",2
On-Line Ventures,"On-Line Ventures is an “Angel” Investment and Development Company that focuses on investing in, and providing services to, emerging stage",2
MIT Alumni Angels of DC,"MIT Alumni Angels of DC invest in, and mentor entrepreneurs and help bring their visions to fruition.",2
CrystalVentures,"Crystal Ventures is a VC company providing seed and early stage venture capital, advisory services and interim management for tech startups",2
Andcor Companies,Customized recruitment solutions for visionary MN based companies with an equity for services + direct investment business model,2
Tierra Del Oro,"Zenerji is an asset management company with offices in Naples, FL.",2
Swan's Egg,"Venture Captial firm out of St. Louis, MO",2
Triangle Venture Alliance,"Triangle Venture Alliance is a network of angel groups created to fund startups founded by alumni, students, staff, faculty, and families.",2
Queen City Angels First Funds,The QCA First Funds are a family of small investment funds which were established in 2003 to help fledgling companies reach important,2
Gorge Angel Investor Network,"Gorge Angel Investor Network is an angel investment company based in Portland, Oregon.",2
Spartanburg Angels,"Spartanburg Angels is an angel investment firm headquartered in Spartanburg, South Carolina.",2
